Category,Tag,Repository,Stars,Language,Link,Description (EN),Description (RU)
Design,design-system,semi-design,9805,TypeScript,https://github.com/DouyinFE/semi-design,"🚀A modern, comprehensive, flexible design system and React UI library, AI-friendly built-in.🎨Provide 3000+ Design Tokens, easy to build your design system. Make Semi Design to Any Design.🧑🏻‍💻 Design to Code in one click","🚀Современная, комплексная, гибкая система дизайна и библиотека пользовательского интерфейса React со встроенной поддержкой искусственного интеллекта. 🎨Предоставьте более 3000 токенов дизайна, чтобы легко создать свою систему дизайна. Превратите полудизайн в любой дизайн.🧑🏻‍💻 От дизайна до кода в один клик"
Analysis,data-science,kit,9801,HTML,https://github.com/HugoBlox/kit,"⚡ The Open Research Copilot. Build high-perf Portfolios, Lab Sites & Docs in Markdown + Jupyter. 100% Data Control. 🦫 数据科学家的开源 Copilot。一键部署 👇","⚡ Второй пилот открытого исследования. Создавайте высокопроизводительные портфолио, лабораторные сайты и документы в Markdown + Jupyter. 100% контроль данных. 🦫 Второй пилотный проект Open Research для специалистов по данным. Развертывание в один клик 👇"
Analysis,data-analysis,pyod,9772,Python,https://github.com/yzhao062/pyod,"A Python Library for Outlier and Anomaly Detection, Integrating Classical and Deep Learning Techniques","Библиотека Python для обнаружения выбросов и аномалий, объединяющая классические методы и методы глубокого обучения"
Analysis,data-science,cookiecutter-data-science,9772,Python,https://github.com/drivendataorg/cookiecutter-data-science,"A logical, reasonably standardized, but flexible project structure for doing and sharing data science work.","Логичная, разумно стандартизированная, но гибкая структура проекта для выполнения и обмена результатами работы по науке о данных."
Analysis,data-science,pycaret,9738,Jupyter Notebook,https://github.com/pycaret/pycaret,"An open-source, low-code machine learning library in Python",Библиотека машинного обучения с открытым исходным кодом на Python.
Analysis,data-science,sktime,9690,Python,https://github.com/sktime/sktime,A unified framework for machine learning with time series,Единая платформа для машинного обучения с временными рядами
Encryption,security-tools,Sn1per,9648,Shell,https://github.com/1N3/Sn1per,Attack Surface Management Platform,Платформа управления поверхностью атаки
Analysis,data-analysis,cudf,9600,C++,https://github.com/rapidsai/cudf,cuDF - GPU DataFrame Library ,cuDF — библиотека фреймов данных графического процессора
Analysis,data-science,tflearn,9591,Python,https://github.com/tflearn/tflearn,Deep learning library featuring a higher-level API for TensorFlow.,Библиотека глубокого обучения с API более высокого уровня для TensorFlow.
Statistics,statistical-analysis,pymc,9559,Python,https://github.com/pymc-devs/pymc,Bayesian Modeling and Probabilistic Programming in Python,Байесовское моделирование и вероятностное программирование на Python
Encryption,encryption,VeraCrypt,9441,C,https://github.com/veracrypt/VeraCrypt,Disk encryption with strong security based on TrueCrypt,Шифрование диска с надежной защитой на основе TrueCrypt
Encryption,security-tools,my-arsenal-of-aws-security-tools,9426,Shell,https://github.com/toniblyx/my-arsenal-of-aws-security-tools,"List of open source tools for AWS security: defensive, offensive, auditing, DFIR, etc.","Список инструментов с открытым исходным кодом для обеспечения безопасности AWS: защитные, наступательные, аудит, DFIR и т. д."
Analysis,data-science,xgo,9409,Go,https://github.com/goplus/xgo,"XGo is a programming language that reads like plain English. But it's also incredibly powerful — it lets you leverage assets from C/C++, Go, Python, and JavaScript/TypeScript, creating a unified software engineering ecosystem. Our vision is to enable everyone to become a builder of the world.","XGo — это язык программирования, который читается как простой английский. Но он также невероятно мощный — он позволяет использовать ресурсы C/C++, Go, Python и JavaScript/TypeScript, создавая единую экосистему разработки программного обеспечения. Наше видение – дать возможность каждому стать строителем мира."
Analysis,data-science,PyMuPDF,9378,Python,https://github.com/pymupdf/PyMuPDF,"PyMuPDF is a high performance Python library for data extraction, analysis, conversion & manipulation of PDF (and other) documents.","PyMuPDF — это высокопроизводительная библиотека Python для извлечения, анализа, преобразования и обработки данных PDF (и других) документов."
Analysis,data-science,darts,9308,Python,https://github.com/unit8co/darts,A python library for user-friendly forecasting and anomaly detection on time series.,Библиотека Python для удобного прогнозирования и обнаружения аномалий во временных рядах.
Design,design-system,flowbite,9187,HTML,https://github.com/themesberg/flowbite,Open-source UI component library and front-end development framework based on Tailwind CSS,Библиотека компонентов пользовательского интерфейса с открытым исходным кодом и среда разработки интерфейса на основе Tailwind CSS.
Analysis,data-science,tsfresh,9168,Jupyter Notebook,https://github.com/blue-yonder/tsfresh,Automatic extraction of relevant features from time series:,Автоматическое извлечение соответствующих характеристик из временных рядов:
Encryption,encryption,berty,9144,TypeScript,https://github.com/berty/berty,"Berty is a secure peer-to-peer messaging app that works with or without internet access, cellular data or trust in the network","Berty — это безопасное одноранговое приложение для обмена сообщениями, которое работает как с доступом к Интернету, сотовой передачей данных, так и без него."
Design,design-system,base-ui,9105,TypeScript,https://github.com/mui/base-ui,"Unstyled UI components for building accessible web apps and design systems. From the creators of Radix, Floating UI, and Material UI.","Нестилизованные компоненты пользовательского интерфейса для создания доступных веб-приложений и систем дизайна. От создателей Radix, Floating UI и Material UI."
Forecasting,forecasting,awesome-project-ideas,9018,Multi,https://github.com/NirantK/awesome-project-ideas,"Curated list of Machine Learning, NLP, Vision, Recommender Systems Project Ideas","Кураторский список идей проектов машинного обучения, НЛП, видения, рекомендательных систем"
Design,design-system,carbon,8983,JavaScript,https://github.com/carbon-design-system/carbon,A design system built by IBM,"Система дизайна, созданная IBM"
Analysis,data-science,catboost,8873,C++,https://github.com/catboost/catboost,"A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification, regression and other machine learning tasks for Python, R, Java, C++. Supports computation on CPU and GPU.","Быстрая, масштабируемая и высокопроизводительная библиотека градиентного повышения на деревьях решений, используемая для ранжирования, классификации, регрессии и других задач машинного обучения для Python, R, Java, C++. Поддерживает вычисления на процессоре и графическом процессоре."
Analysis,data-science,machine_learning_examples,8849,Python,https://github.com/lazyprogrammer/machine_learning_examples,A collection of machine learning examples and tutorials.,Коллекция примеров и руководств по машинному обучению.
Design,design-system,nue,8847,JavaScript,https://github.com/nuejs/nue,Fastest way to build modern websites,Самый быстрый способ создания современных веб-сайтов
Encryption,security-tools,gosec,8751,Go,https://github.com/securego/gosec,Go security checker,Перейти к проверке безопасности
Analysis,data-science,mage-ai,8689,Python,https://github.com/mage-ai/mage-ai,"🧙 Build, run, and manage data pipelines for integrating and transforming data.","🧙 Создавайте, запускайте и управляйте конвейерами данных для интеграции и преобразования данных."
Encryption,security-tools,osv-scanner,8648,Go,https://github.com/google/osv-scanner,Vulnerability scanner written in Go which uses the data provided by https://osv.dev,"Сканер уязвимостей, написанный на Go и использующий данные, предоставленные https://osv.dev."
Encryption,security-tools,RedTeam-Tools,8629,Multi,https://github.com/A-poc/RedTeam-Tools,Tools and Techniques for Red Team / Penetration Testing,Инструменты и методы для Red Team / тестирования на проникновение
Encryption,security-tools,rengine,8539,HTML,https://github.com/yogeshojha/rengine,"reNgine is an automated reconnaissance framework for web applications with a focus on highly configurable streamlined recon process via Engines, recon data correlation and organization, continuous monitoring, backed by a database, and simple yet intuitive User Interface. reNgine makes it easy for penetration testers to gather reconnaissance with minimal configuration and with the help of reNgine's correlation, it just makes recon effortless.","reNgine — это автоматизированная среда разведки для веб-приложений, в которой особое внимание уделяется гибко настраиваемому оптимизированному процессу разведки с помощью механизмов, корреляции и организации разведывательных данных, непрерывному мониторингу на основе базы данных и простому, но интуитивно понятному пользовательскому интерфейсу. ReNgine позволяет тестерам на проникновение легко собирать разведданные с минимальной конфигурацией, а с помощью корреляции ReNgine это просто упрощает разведку."
Analysis,data-science,vaex,8501,Python,https://github.com/vaexio/vaex,"Out-of-Core hybrid Apache Arrow/NumPy DataFrame for Python, ML, visualization and exploration of big tabular data at a billion rows per second 🚀","Гибрид Apache Arrow/NumPy DataFrame вне ядра для Python, машинного обучения, визуализации и исследования больших табличных данных со скоростью миллиарда строк в секунду 🚀"
Design,design-system,grommet,8355,JavaScript,https://github.com/grommet/grommet,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package","фреймворк, основанный на реагировании, который обеспечивает доступность, модульность, отзывчивость и тематику в аккуратном пакете."
Statistics,statistics,gonum,8339,Go,https://github.com/gonum/gonum,"Gonum is a set of numeric libraries for the Go programming language. It contains libraries for matrices, statistics, optimization, and more","Gonum — это набор числовых библиотек для языка программирования Go. Он содержит библиотеки для матриц, статистики, оптимизации и т. д."
Encryption,security-tools,certificates,8335,Go,https://github.com/smallstep/certificates,"🛡️ A private certificate authority (X.509 & SSH) & ACME server for secure automated certificate management, so you can use TLS everywhere & SSO for SSH.","🛡️ Частный центр сертификации (X.509 и SSH) и сервер ACME для безопасного автоматического управления сертификатами, поэтому вы можете использовать TLS везде и SSO для SSH."
Statistics,statistics,scc,8260,Go,https://github.com/boyter/scc,"Sloc, Cloc and Code: scc is a very fast accurate code counter with complexity calculations and COCOMO estimates written in pure Go","Sloc, Cloc и Code: scc — очень быстрый и точный счетчик кода с вычислениями сложности и оценками COCOMO, написанными на чистом Go."
Encryption,cryptography,PrivateBin,8175,PHP,https://github.com/PrivateBin/PrivateBin,"A minimalist, open source online pastebin where the server has zero knowledge of pasted data. Data is encrypted/decrypted in the browser using 256 bits AES.","Минималистичная онлайн-паста с открытым исходным кодом, в которой сервер не имеет никакой информации о вставленных данных. Данные шифруются/дешифруются в браузере с использованием 256-битного AES."
Analysis,data-science,python-small-examples,8134,Python,https://github.com/jackzhenguo/python-small-examples,告别枯燥，致力于打造 Python 实用小例子，更多Python良心教程见  https://ai-jupyter.com,Попрощайтесь со скукой и сосредоточьтесь на создании практических примеров Python. Дополнительные руководства по сознательности Python можно найти на https://ai-jupyter.com.
Encryption,cryptography,lnd,8127,Go,https://github.com/lightningnetwork/lnd,Lightning Network Daemon ⚡️,Демон сети Lightning ⚡️
Analysis,data-science,dowhy,8038,Python,https://github.com/py-why/dowhy,"DoWhy is a Python library for causal inference that supports explicit modeling and testing of causal assumptions. DoWhy is based on a unified language for causal inference, combining causal graphical models and potential outcomes frameworks. ","DoWhy — это библиотека Python для причинно-следственных выводов, которая поддерживает явное моделирование и проверку причинно-следственных предположений. DoWhy основан на едином языке причинно-следственных выводов, сочетающем причинно-следственные графические модели и структуры потенциальных результатов."
Design,design-system,rebass,7907,JavaScript,https://github.com/rebassjs/rebass,:atom_symbol: React primitive UI components built with styled-system.,":atom_symbol: Реагировать на примитивные компоненты пользовательского интерфейса, созданные с помощью styled-system."
Encryption,security-tools,bandit,7903,Python,https://github.com/PyCQA/bandit,Bandit is a tool designed to find common security issues in Python code.,"Bandit — это инструмент, предназначенный для поиска распространенных проблем безопасности в коде Python."
Analysis,data-analysis,jimureport,7898,Java,https://github.com/jeecgboot/jimureport,开源的报表工具与BI大屏，可替代 Tableau 和 JasperReports，提供强大的报表能力。一款类似Excel的报表设计器和大屏设计！完全在线傻瓜式拖拽设计，高效降低报表开发难度，解决各类报表难题。,"Инструмент создания отчетов с открытым исходным кодом и большой экран BI могут заменить Tableau и JasperReports, предоставляя мощные возможности создания отчетов. Дизайнер отчетов в стиле Excel и дизайн на большом экране! Полностью онлайн-дизайн с возможностью перетаскивания эффективно снижает сложность разработки отчетов и решает различные проблемы с отчетами."
Encryption,encryption,staticrypt,7856,HTML,https://github.com/robinmoisson/staticrypt,"Password protect a static HTML page, decrypted in-browser in JS with no dependency. No server logic needed.","Пароль защищает статическую HTML-страницу, расшифровываемую в браузере в JS без каких-либо зависимостей. Серверная логика не требуется."
Analysis,data-science,machine-learning-roadmap,7832,Multi,https://github.com/mrdbourke/machine-learning-roadmap,"A roadmap connecting many of the most important concepts in machine learning, how to learn them and what tools to use to perform them.","Дорожная карта, объединяющая многие из наиболее важных концепций машинного обучения, способы их изучения и какие инструменты использовать для их реализации."
Encryption,cryptography,tachyon,7699,C++,https://github.com/kroma-network/tachyon,Modular ZK(Zero Knowledge) backend accelerated by GPU,"Модульный бэкэнд ZK (с нулевым разглашением), ускоренный графическим процессором"
Encryption,security-tools,cve,7660,HTML,https://github.com/trickest/cve,Gather and update all available and newest CVEs with their PoC.,Соберите и обновите все доступные и новейшие CVE с их PoC.
Analysis,data-science,featuretools,7628,Python,https://github.com/alteryx/featuretools,An open source python library for automated feature engineering,Библиотека Python с открытым исходным кодом для автоматизированного проектирования функций.
Statistics,statistics,growthbook,7609,TypeScript,https://github.com/growthbook/growthbook,"Open Source Feature Flags, Experimentation, and Product Analytics","Флаги функций открытого исходного кода, экспериментирование и аналитика продуктов"
Encryption,cryptography,cryptography,7537,Python,https://github.com/pyca/cryptography,cryptography is a package designed to expose cryptographic primitives and recipes to Python developers.,"криптография — это пакет, предназначенный для предоставления разработчикам Python криптографических примитивов и рецептов."
Analysis,data-science,h2o-3,7523,Jupyter Notebook,https://github.com/h2oai/h2o-3,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM) & XGBoost, Random Forest, Generalized Linear Modeling (GLM with Elastic Net), K-Means, PCA, Generalized Additive Models (GAM), RuleFit, Support Vector Machine (SVM), Stacked Ensembles, Automatic Machine Learning (AutoML), etc.","H2O — это распределенная, быстрая и масштабируемая платформа машинного обучения с открытым исходным кодом: глубокое обучение, повышение градиента (GBM) и XGBoost, случайный лес, обобщенное линейное моделирование (GLM с эластичной сетью), K-Means, PCA, обобщенные аддитивные модели (GAM), RuleFit, машина опорных векторов (SVM), сложенные ансамбли, автоматическое машинное обучение (AutoML) и т. д."
Analysis,data-science,industry-machine-learning,7458,Jupyter Notebook,https://github.com/firmai/industry-machine-learning,A curated list of applied machine learning and data science notebooks and libraries across different industries (by @firmai),Кураторский список блокнотов и библиотек по прикладному машинному обучению и науке о данных из разных отраслей (от @firmai).
Encryption,encryption,tutanota,7432,TypeScript,https://github.com/tutao/tutanota,"Tuta is an email service with a strong focus on security and privacy that lets you encrypt emails, contacts and calendar entries on all your devices.","Tuta — это служба электронной почты, уделяющая особое внимание безопасности и конфиденциальности, которая позволяет вам шифровать электронную почту, контакты и записи календаря на всех ваших устройствах."
Analysis,data-science,Book3_Elements-of-Mathematics,7403,Jupyter Notebook,https://github.com/Visualize-ML/Book3_Elements-of-Mathematics,Book_3_《数学要素》 |   鸢尾花书：从加减乘除到机器学习；上架；欢迎继续纠错，纠错多的同学还会有赠书！,"Книга_3_""Элементы математики"" | Iris Book: От сложения, вычитания, умножения и деления к машинному обучению; теперь на полках; Вы можете продолжать исправлять ошибки, а студенты, исправившие больше ошибок, получат бесплатные книги!"
Encryption,security-tools,reconftw,7402,Shell,https://github.com/six2dez/reconftw,reconFTW is a tool designed to perform automated recon on a target domain by running the best set of tools to perform scanning and finding out vulnerabilities,"reconFTW — это инструмент, предназначенный для автоматического проведения разведки целевого домена путем запуска лучшего набора инструментов для сканирования и обнаружения уязвимостей."
Analysis,data-science,evidently,7368,Jupyter Notebook,https://github.com/evidentlyai/evidently,"Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or data pipeline. From tabular data to Gen AI. 100+ metrics.","Очевидно, это платформа наблюдения ML и LLM с открытым исходным кодом. Оценивайте, тестируйте и контролируйте любую систему или конвейер данных на базе искусственного интеллекта. От табличных данных к Gen AI. 100+ показателей."
Analysis,data-science,folium,7352,Python,https://github.com/python-visualization/folium,Python Data. Leaflet.js Maps. ,Данные Python. Карты Leaflet.js.
Encryption,cryptography,rustls,7326,Rust,https://github.com/rustls/rustls,A modern TLS library in Rust,Современная библиотека TLS в Rust.
Encryption,encryption,ffsend,7321,Rust,https://github.com/timvisee/ffsend,:mailbox_with_mail: Easily and securely share files from the command line. A fully featured Firefox Send client.,:mailbox_with_mail: Легко и безопасно делитесь файлами из командной строки. Полнофункциональный клиент Firefox Send.
Encryption,security-tools,awesome-shodan-queries,7315,Multi,https://github.com/jakejarvis/awesome-shodan-queries,"🔍 A collection of interesting, funny, and depressing search queries to plug into shodan.io 👩‍💻","🔍 Коллекция интересных, забавных и депрессивных поисковых запросов для подключения к shodan.io 👩‍💻"
Forecasting,time-series,falcon-plus,7262,Go,https://github.com/open-falcon/falcon-plus, An open-source and enterprise-level monitoring system.,Система мониторинга корпоративного уровня с открытым исходным кодом.
Encryption,security-tools,brakeman,7210,Ruby,https://github.com/presidentbeef/brakeman,A static analysis security vulnerability scanner for Ruby on Rails applications,Сканер уязвимостей статического анализа для приложений Ruby on Rails.
Analysis,data-science,python-machine-learning-book-2nd-edition,7204,Jupyter Notebook,https://github.com/rasbt/python-machine-learning-book-2nd-edition,"The ""Python Machine Learning (2nd edition)"" book code repository and info resource",Репозиторий кода книги и информационный ресурс «Машинное обучение Python (2-е издание)».
Design,design-system,React95,7192,TypeScript,https://github.com/react95-io/React95,🌈🕹  Windows 95 style UI component library for React,🌈🕹 Библиотека компонентов пользовательского интерфейса в стиле Windows 95 для React.
Analysis,data-analysis,alluxio,7179,Java,https://github.com/Alluxio/alluxio,"Alluxio, data orchestration for analytics and machine learning in the cloud","Alluxio, оркестровка данных для аналитики и машинного обучения в облаке"
Encryption,security-tools,traitor,7116,Go,https://github.com/liamg/traitor,":arrow_up: :skull_and_crossbones: :fire: Automatic Linux privesc via exploitation of low-hanging fruit e.g. gtfobins, pwnkit, dirty pipe, +w docker.sock",":arrow_up: :skull_and_crossbones: :fire: Автоматическое привлечение Linux посредством использования легко висящих плодов, например gtfobins, pwnkit, грязная труба, +w docker.sock"
Encryption,encryption,PeaZip,7107,Pascal,https://github.com/peazip/PeaZip,"Free Zip / Unzip software and Rar file extractor. Cross-platform file and archive manager. Features volume spanning, compression, authenticated encryption. Supports 7Z, 7-Zip sfx, ACE, ARJ, Brotli, BZ2, CAB, CHM, CPIO, DEB, GZ, ISO, JAR, LHA/LZH, NSIS, OOo, PAQ/LPAQ, PEA, QUAD, RAR, RPM, split, TAR, Z, ZIP, ZIPX, Zstandard.","Бесплатное программное обеспечение для архивирования и распаковки архивов и программа для извлечения файлов Rar. Кроссплатформенный файловый и архивный менеджер. Особенности охвата томов, сжатия и шифрования с проверкой подлинности. Поддерживает 7Z, 7-Zip sfx, ACE, ARJ, Brotli, BZ2, CAB, CHM, CPIO, DEB, GZ, ISO, JAR, LHA/LZH, NSIS, OOo, PAQ/LPAQ, PEA, QUAD, RAR, RPM, Split, TAR, Z, ZIP, ZIPX, Zstandard."
Statistics,statistics,imbalanced-learn,7093,Python,https://github.com/scikit-learn-contrib/imbalanced-learn, A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning,Пакет Python для решения проблемы несбалансированных наборов данных в машинном обучении
Analysis,data-science,vectorbt,7077,Python,https://github.com/polakowo/vectorbt,⚡️ Lightning-fast backtesting engine to find your trading edge.,⚡️ Молниеносная система бэктестинга для определения вашего торгового преимущества.
Analysis,data-science,roughViz,7065,JavaScript,https://github.com/jwilber/roughViz,Reusable JavaScript library for creating sketchy/hand-drawn styled charts in the browser.,Многоразовая библиотека JavaScript для создания эскизных/рисованных от руки диаграмм в браузере.
Encryption,encryption,docker-ipsec-vpn-server,7048,Shell,https://github.com/hwdsl2/docker-ipsec-vpn-server,"Docker image to run an IPsec VPN server, with IPsec/L2TP, Cisco IPsec and IKEv2","Образ Docker для запуска VPN-сервера IPsec с IPsec/L2TP, Cisco IPsec и IKEv2."
Encryption,security-tools,monkey,6980,Python,https://github.com/guardicore/monkey,Infection Monkey - An open-source adversary emulation platform,Infection Monkey — платформа эмуляции злоумышленников с открытым исходным кодом.
Statistics,statistics,git-quick-stats,6955,Shell,https://github.com/git-quick-stats/git-quick-stats,▁▅▆▃▅ Git quick statistics is a simple and efficient way to access various statistics in git repository.,▅▆▃▅ Быстрая статистика Git — это простой и эффективный способ доступа к различной статистике в репозитории git.
Analysis,data-science,stanford-cs-230-deep-learning,6952,Multi,https://github.com/afshinea/stanford-cs-230-deep-learning,VIP cheatsheets for Stanford's CS 230 Deep Learning,VIP-шпаргалки для Стэнфордского курса CS 230 Deep Learning
Analysis,data-analysis,flyte,6921,Go,https://github.com/flyteorg/flyte,"Dynamic, resilient AI orchestration. Coordinate data, models, and compute as you build AI workflows. Flyte 2 now available locally: https://github.com/flyteorg/flyte-sdk","Динамическая и отказоустойчивая оркестровка ИИ. Координируйте данные, модели и вычисления при построении рабочих процессов ИИ. Flyte 2 теперь доступен локально: https://github.com/flyteorg/flyte-sdk"
Analysis,data-science,feast,6882,Python,https://github.com/feast-dev/feast,The Open Source Feature Store for AI/ML,Магазин функций с открытым исходным кодом для AI/ML
Encryption,cryptography,RsaCtfTool,6869,Python,https://github.com/RsaCtfTool/RsaCtfTool,RSA attack tool (mainly for ctf) - retrieve private key from weak public key and/or uncipher data,Инструмент атаки RSA (в основном для ctf) — извлекает закрытый ключ из слабого открытого ключа и/или расшифровывает данные.
Statistics,statistics,boltons,6865,Python,https://github.com/mahmoud/boltons,"🔩 Like builtins, but boltons. 250+ constructs, recipes, and snippets which extend (and rely on nothing but) the Python standard library.  Nothing like Michael Bolton.","🔩Как встроенные, но болтоны. Более 250 конструкций, рецептов и фрагментов, которые расширяют (и не полагаются ни на что, кроме) стандартную библиотеку Python.  Ничего похожего на Майкла Болтона."
Encryption,cryptography,awesome-cryptography,6825,Multi,https://github.com/sobolevn/awesome-cryptography,A curated list of cryptography resources and links.,Кураторский список ресурсов и ссылок по криптографии.
Forecasting,forecasting,postgresml,6736,Rust,https://github.com/postgresml/postgresml,Postgres with GPUs for ML/AI apps.,Postgres с графическими процессорами для приложений ML/AI.
Analysis,data-analysis,Data-Analysis-and-Machine-Learning-Projects,6671,Jupyter Notebook,https://github.com/rhiever/Data-Analysis-and-Machine-Learning-Projects,"Repository of teaching materials, code, and data for my data analysis and machine learning projects.","Репозиторий учебных материалов, кода и данных для моих проектов по анализу данных и машинному обучению."
Encryption,encryption,alt-sendme,6652,TypeScript,https://github.com/tonyantony300/alt-sendme,"Send files and folders anywhere in the world without storing in cloud - any size, any format, no accounts, no restrictions.","Отправляйте файлы и папки в любую точку мира без хранения в облаке — любого размера, любого формата, без учетных записей и ограничений."
Statistics,statistics,git-stats,6595,HTML,https://github.com/IonicaBizau/git-stats,🍀 Local git statistics including GitHub-like contributions calendars.,"🍀 Локальная статистика git, включая календари взносов в стиле GitHub."
Encryption,security-tools,spicedb,6563,Go,https://github.com/authzed/spicedb,"Open Source, Google Zanzibar-inspired database for scalably storing and querying fine-grained authorization data","База данных с открытым исходным кодом, вдохновленная Google Zanzibar, для масштабируемого хранения и запроса детальных данных авторизации."
Encryption,security-tools,WhatWeb,6480,Ruby,https://github.com/urbanadventurer/WhatWeb,Next generation web scanner,Веб-сканер нового поколения
Forecasting,forecasting,Informer2020,6458,Python,https://github.com/zhouhaoyi/Informer2020,"The GitHub repository for the paper ""Informer"" accepted by AAAI 2021.","Репозиторий GitHub для статьи «Информер», принятой AAAI 2021."
Encryption,security-tools,linux-exploit-suggester,6446,Shell,https://github.com/The-Z-Labs/linux-exploit-suggester,Linux privilege escalation auditing tool,Инструмент аудита повышения привилегий Linux
Analysis,data-analysis,awesome-R,6439,R,https://github.com/qinwf/awesome-R,"A curated list of awesome R packages, frameworks and software.","Кураторский список потрясающих пакетов, фреймворков и программного обеспечения R."
Analysis,data-science,ML-Course-Notes,6439,Multi,https://github.com/dair-ai/ML-Course-Notes,🎓 Sharing machine learning course / lecture notes.,🎓 Делимся курсом/конспектами лекций по машинному обучению.
Statistics,statistics,Tautulli,6432,Python,https://github.com/Tautulli/Tautulli,A Python based monitoring and tracking tool for Plex Media Server.,Инструмент мониторинга и отслеживания на основе Python для Plex Media Server.
Encryption,cryptography,upspin,6404,Go,https://github.com/upspin/upspin,Upspin: A framework for naming everyone's everything.,"Upspin: структура, позволяющая называть все всем."
Design,design-system,clarity,6402,TypeScript,https://github.com/vmware-archive/clarity,"Clarity is a scalable, accessible, customizable, open source design system built with web components. Works with any JavaScript framework, built for enterprises, and designed to  be inclusive.","Clarity — это масштабируемая, доступная, настраиваемая система дизайна с открытым исходным кодом, созданная с использованием веб-компонентов. Работает с любой платформой JavaScript, созданной для предприятий и предназначенной для инклюзивности."
Analysis,data-science,kaggle-solutions,6370,Astro,https://github.com/faridrashidi/kaggle-solutions,🏅 Collection of Kaggle Solutions and Ideas 🏅,🏅 Коллекция решений и идей Kaggle 🏅
Analysis,data-analysis,cloudquery,6365,Go,https://github.com/cloudquery/cloudquery,"Data pipelines for cloud config and security data. Build cloud asset inventory, CSPM, FinOps, and vulnerability management solutions. Extract from AWS, Azure, GCP, and 70+ cloud and SaaS sources.","Конвейеры данных для облачной конфигурации и данных безопасности. Создавайте инвентаризацию облачных активов, CSPM, FinOps и решения для управления уязвимостями. Извлечения из AWS, Azure, GCP и более 70 облачных и SaaS-источников."
Statistics,statistics,smile,6361,Java,https://github.com/haifengl/smile,Statistical Machine Intelligence & Learning Engine,Статистический машинный интеллект и система обучения
Analysis,data-science,data-science-blogs,6358,Python,https://github.com/rushter/data-science-blogs,A curated list of data science blogs,Кураторский список блогов по науке о данных
Encryption,encryption,whatsapp-web-reveng,6357,JavaScript,https://github.com/sigalor/whatsapp-web-reveng,Reverse engineering WhatsApp Web.,Реверс-инжиниринг WhatsApp Web.
Analysis,data-analysis,WeFlow,6351,TypeScript,https://github.com/hicccc77/WeFlow,WeFlow - 一个本地的微信聊天记录导出和年度报告应用,WeFlow — приложение для экспорта истории чатов WeChat и составления ежегодных отчетов.
Design,design-system,reka-ui,6346,Vue,https://github.com/unovue/reka-ui,"An open-source UI component library for building high-quality, accessible design systems and web apps for Vue. Previously Radix Vue","Библиотека компонентов пользовательского интерфейса с открытым исходным кодом для создания высококачественных, доступных систем дизайна и веб-приложений для Vue. Ранее Radix Vue"
Analysis,data-analysis,pachyderm,6293,Go,https://github.com/pachyderm/pachyderm,Data-Centric Pipelines and Data Versioning,Дата-ориентированные конвейеры и управление версиями данных
Design,design-system,eui,6284,TypeScript,https://github.com/elastic/eui,Elastic UI Framework 🙌,Эластичный UI Framework 🙌
Analysis,data-analysis,lance,6273,Rust,https://github.com/lance-format/lance,"Open Lakehouse Format for Multimodal AI. Convert from Parquet in 2 lines of code for 100x faster random access, vector index, and data versioning. Compatible with Pandas, DuckDB, Polars, Pyarrow, and PyTorch with more integrations coming..","Открытый формат Lakehouse для мультимодального ИИ. Преобразование из Parquet за 2 строки кода для ускорения произвольного доступа в 100 раз, векторного индексирования и управления версиями данных. Совместим с Pandas, DuckDB, Polars, Pyarrow и PyTorch; в будущем появятся новые интеграции."
Analysis,data-science,archived-desktop-app,6269,TypeScript,https://github.com/nteract/archived-desktop-app,The old electron based nteract notebook,Старый электронный блокнот Interact
Encryption,security-tools,awesome-security-hardening,6253,Multi,https://github.com/decalage2/awesome-security-hardening,"A collection of awesome security hardening guides, tools and other resources","Коллекция потрясающих руководств, инструментов и других ресурсов по усилению безопасности."
Encryption,encryption,yadm,6234,Python,https://github.com/yadm-dev/yadm,Yet Another Dotfiles Manager,Еще один менеджер Dotfiles
Analysis,data-analysis,data-juicer,6210,Python,https://github.com/datajuicer/data-juicer,Data processing for and with foundation models!  🍎 🍋 🌽 ➡️ ➡️🍸 🍹 🍷,Обработка данных для моделей фундамента и с ними!  🍎 🍋 🌽 ➡️ ➡️🍸 🍹 🍷
Encryption,security-tools,osmedeus,6176,Go,https://github.com/j3ssie/osmedeus,A Modern Orchestration Engine for Security,Современный механизм оркестровки для обеспечения безопасности
